41_40 863 R=6 short=4 certificate OK: 13 lemmas, 186 steps; Gamma^+ is not left-orderable
41_40 864 R=6 short=4 certificate OK: 11 lemmas, 199 steps; Gamma^+ is not left-orderable
41_40 865 R=6 short=4 certificate OK: 14 lemmas, 147 steps; Gamma^+ is not left-orderable
41_40 883 R=6 short=4 certificate OK: 8 lemmas, 136 steps; Gamma^+ is not left-orderable
41_40 884 R=6 short=4 certificate OK: 11 lemmas, 133 steps; Gamma^+ is not left-orderable
41_40 885 R=6 short=4 certificate OK: 12 lemmas, 149 steps; Gamma^+ is not left-orderable
41_40 886 R=6 short=4 certificate OK: 20 lemmas, 272 steps; Gamma^+ is not left-orderable
41_40 887 R=6 short=4 certificate OK: 21 lemmas, 457 steps; Gamma^+ is not left-orderable
41_40 889 R=6 short=4 certificate OK: 14 lemmas, 333 steps; Gamma^+ is not left-orderable
41_40 890 R=6 short=4 certificate OK: 8 lemmas, 137 steps; Gamma^+ is not left-orderable
41_40 891 R=6 short=4 certificate OK: 8 lemmas, 113 steps; Gamma^+ is not left-orderable
41_40 892 R=6 short=4 certificate OK: 17 lemmas, 386 steps; Gamma^+ is not left-orderable
41_40 893 R=6 short=4 certificate OK: 14 lemmas, 333 steps; Gamma^+ is not left-orderable
41_40 895 R=6 short=4 certificate OK: 35 lemmas, 674 steps; Gamma^+ is not left-orderable
41_40 896 R=6 short=4 certificate OK: 8 lemmas, 136 steps; Gamma^+ is not left-orderable
41_40 897 R=6 short=4 certificate OK: 17 lemmas, 386 steps; Gamma^+ is not left-orderable
41_40 898 R=6 short=4 certificate OK: 8 lemmas, 137 steps; Gamma^+ is not left-orderable
41_40 948 R=6 short=4 certificate OK: 11 lemmas, 141 steps; Gamma^+ is not left-orderable
41_40 957 R=6 short=4 certificate OK: 13 lemmas, 129 steps; Gamma^+ is not left-orderable
41_40 979 R=6 short=4 certificate OK: 21 lemmas, 290 steps; Gamma^+ is not left-orderable
41_40 983 R=6 short=4 certificate OK: 28 lemmas, 451 steps; Gamma^+ is not left-orderable
41_40 991 R=6 short=4 certificate OK: 27 lemmas, 265 steps; Gamma^+ is not left-orderable
41_40 1018 R=6 short=4 certificate OK: 16 lemmas, 234 steps; Gamma^+ is not left-orderable
41_40 1029 R=6 short=4 certificate OK: 10 lemmas, 252 steps; Gamma^+ is not left-orderable
41_40 1030 R=6 short=4 certificate OK: 10 lemmas, 190 steps; Gamma^+ is not left-orderable
41_40 1041 R=6 short=4 certificate OK: 20 lemmas, 335 steps; Gamma^+ is not left-orderable
41_40 1077 R=6 short=4 certificate OK: 36 lemmas, 667 steps; Gamma^+ is not left-orderable
41_40 1081 R=6 short=4 certificate OK: 26 lemmas, 647 steps; Gamma^+ is not left-orderable
