390 pi_s=a a pi_t=e e s|0=A s E t|0=E t A s|3=t | undecided
391 pi_s=a a pi_t=e e s|0=A s E t|0=E t E s|3=t | undecided
393 pi_s=a a pi_t=e e s|0=E s A t|0=A t E s|3=t | undecided
394 pi_s=a a pi_t=e e s|0=E s A t|0=E t A s|3=t | infinite ord(SSTST)=inf ('A E t E t', 8, 'A E t E t')
395 pi_s=a a pi_t=e e s|0=E s A t|0=E t E s|3=t | undecided
399 pi_s=a a pi_t=e e s|0=E s E t|0=E t E s|3=t | undecided
403 pi_s=e e pi_t=a s|0=A s E t|0=E t s|3=t | undecided
407 pi_s=e e pi_t=a s|0=E s E t|0=E t s|3=t | undecided
408 pi_s=e e pi_t=a e s|0=A s A t|0=A t A s|3=t | infinite ord(SSSST)=inf ('A A t A A t A t', 6, 'A A t A A t A t')
409 pi_s=e e pi_t=a e s|0=A s A t|0=A t E s|3=t | undecided
411 pi_s=e e pi_t=a e s|0=A s A t|0=E t E s|3=t | infinite ord(SSSST)=inf ('a a a E t E E t E E t E', 11, 'a a a E t E E t E E t E')
412 pi_s=e e pi_t=a e s|0=A s E t|0=A t A s|3=t | infinite ord(SStSt)=inf ('A A t t', 8, 'A A t t')
413 pi_s=e e pi_t=a e s|0=A s E t|0=A t E s|3=t | undecided
415 pi_s=e e pi_t=a e s|0=A s E t|0=E t E s|3=t | undecided
416 pi_s=e e pi_t=a e s|0=E s A t|0=A t A s|3=t | undecided
417 pi_s=e e pi_t=a e s|0=E s A t|0=A t E s|3=t | undecided
419 pi_s=e e pi_t=a e s|0=E s A t|0=E t E s|3=t | infinite ord(SSSST)=inf ('a a a E t E E t E E t E', 11, 'a a a E t E E t E E t E')
420 pi_s=e e pi_t=a e s|0=E s E t|0=A t A s|3=t | undecided
421 pi_s=e e pi_t=a e s|0=E s E t|0=A t E s|3=t | undecided
422 pi_s=e e pi_t=a e s|0=E s E t|0=E t A s|3=t | undecided
423 pi_s=e e pi_t=a e s|0=E s E t|0=E t E s|3=t | undecided
425 pi_s=e e pi_t=a E s|0=A s A t|0=A t e s|3=t | undecided
428 pi_s=e e pi_t=a E s|0=A s E t|0=A t a s|3=t | undecided
429 pi_s=e e pi_t=a E s|0=A s E t|0=A t e s|3=t | undecided
430 pi_s=e e pi_t=a E s|0=A s E t|0=E t a s|3=t | undecided
431 pi_s=e e pi_t=a E s|0=A s E t|0=E t e s|3=t | undecided
433 pi_s=e e pi_t=a E s|0=E s A t|0=A t e s|3=t | undecided
436 pi_s=e e pi_t=a E s|0=E s E t|0=A t a s|3=t | undecided
437 pi_s=e e pi_t=a E s|0=E s E t|0=A t e s|3=t | undecided
438 pi_s=e e pi_t=a E s|0=E s E t|0=E t a s|3=t | undecided
439 pi_s=e e pi_t=a E s|0=E s E t|0=E t e s|3=t | undecided
440 pi_s=e e pi_t=e a s|0=A s A t|0=A t A s|3=t | infinite ord(SSSST)=inf ('A A t A A t A t', 6, 'A A t A A t A t')
444 pi_s=e e pi_t=e a s|0=A s E t|0=A t A s|3=t | undecided
448 pi_s=e e pi_t=e a s|0=E s A t|0=A t A s|3=t | infinite ord(SSSST)=inf ('A A t A A t A t', 6, 'A A t A A t A t')
451 pi_s=e e pi_t=e a s|0=E s A t|0=E t E s|3=t | undecided
452 pi_s=e e pi_t=e a s|0=E s E t|0=A t A s|3=t | undecided
455 pi_s=e e pi_t=e a s|0=E s E t|0=E t E s|3=t | undecided
458 pi_s=e e pi_t=a a s|0=A s A t|0=E t A s|3=t | infinite ord(STStt)=inf ('A E t E t', 8, 'A E t E t')
461 pi_s=e e pi_t=a a s|0=A s E t|0=A t E s|3=t | infinite ord(SSStt)=inf ('A t E a t E', 8, 'A t E a t E')
462 pi_s=e e pi_t=a a s|0=A s E t|0=E t A s|3=t | undecided
463 pi_s=e e pi_t=a a s|0=A s E t|0=E t E s|3=t | infinite ord(SSStt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
465 pi_s=e e pi_t=a a s|0=E s A t|0=A t E s|3=t | undecided
466 pi_s=e e pi_t=a a s|0=E s A t|0=E t A s|3=t | infinite ord(SStSt)=inf ('A E t E t', 8, 'A E t E t')
467 pi_s=e e pi_t=a a s|0=E s A t|0=E t E s|3=t | infinite ord(STTSt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
469 pi_s=e e pi_t=a a s|0=E s E t|0=A t E s|3=t | undecided
470 pi_s=e e pi_t=a a s|0=E s E t|0=E t A s|3=t | undecided
471 pi_s=e e pi_t=a a s|0=E s E t|0=E t E s|3=t | undecided
