OVERFLOW active=3001 total=3196
  AtATAtATATAtaT -> tATAtaTAATAtaTA
  tATAtaTAATat -> AAtATAtaaaT
  ATAtaTATaTaaat -> TAtATAtaaaTaaaaaaT
  ATAtaTATaTaaaat -> TAtATAtaaaTaaaaaaaaT
  ATAtaTATaTaaaaat -> TAtATAtaaaTaaaaaaaaaaT
  ATAtaTATaTaaaaaat -> TAtATAtaaaTaaaaaaaaaaaaT
  tATAtaTAATaat -> AAtATAtaaaaaT
  ATAtaTATaaTaaat -> TAtATAtaaaaaTaaaaaaT
  ATAtaTATaaTaaaat -> TAtATAtaaaaaTaaaaaaaaT
  ATAtaTATaaTaaaaat -> TAtATAtaaaaaTaaaaaaaaaaT
  ATAtaTATaaTaaaaaat -> TAtATAtaaaaaTaaaaaaaaaaaaT
  tATAtaTAATaTat -> AAtATAtaaaTaaT
  ATAtaTATaTaTaaat -> TAtATAtaaaTaaTaaaaaaT
  ATAtaTATaTaTaaaat -> TAtATAtaaaTaaTaaaaaaaaT
  ATAtaTATaTaTaaaaat -> TAtATAtaaaTaaTaaaaaaaaaaT
  ATAtaTATaTaTaaaaaat -> TAtATAtaaaTaaTaaaaaaaaaaaaT
  tATAtaTAATaaTat -> AAtATAtaaaaaTaaT
  ATAtaTATaaTaTat -> TAtATAtaaaaaTaaTaaT
  ATAtaTATaaTaTaat -> TAtATAtaaaaaTaaTaaaaT
  ATAtaTATaaTaTaaat -> TAtATAtaaaaaTaaTaaaaaaT
  ATAtaTATaaTaTaaaat -> TAtATAtaaaaaTaaTaaaaaaaaT
  ATAtaTATaaTaTaaaaat -> TAtATAtaaaaaTaaTaaaaaaaaaaT
  ATAtaTATaaTaTaaaaaat -> TAtATAtaaaaaTaaTaaaaaaaaaaaaT
  tATAtaTAATaTaat -> AAtATAtaaaTaaaaT
  ATAtaTATaTaaTat -> TAtATAtaaaTaaaaTaaT
  ATAtaTATaTaaTaat -> TAtATAtaaaTaaaaTaaaaT
  ATAtaTATaTaaTaaat -> TAtATAtaaaTaaaaTaaaaaaT
  ATAtaTATaTaaTaaaat -> TAtATAtaaaTaaaaTaaaaaaaaT
  ATAtaTATaTaaTaaaaat -> TAtATAtaaaTaaaaTaaaaaaaaaaT
  ATAtaTATaTaaTaaaaaat -> TAtATAtaaaTaaaaTaaaaaaaaaaaaT
  tATAtaTAATaTaTat -> AAtATAtaaaTaaTaaT
  ATAtaTATaTaTaTat -> TAtATAtaaaTaaTaaTaaT
  ATAtaTATaTaTaTaat -> TAtATAtaaaTaaTaaTaaaaT
  ATAtaTATaTaTaTaaat -> TAtATAtaaaTaaTaaTaaaaaaT
  ATAtaTATaTaTaTaaaat -> TAtATAtaaaTaaTaaTaaaaaaaaT
  ATAtaTATaTaTaTaaaaat -> TAtATAtaaaTaaTaaTaaaaaaaaaaT
  ATAtaTATaTaTaTaaaaaat -> TAtATAtaaaTaaTaaTaaaaaaaaaaaaT
  tATAtaTAATaaTaat -> AAtATAtaaaaaTaaaaT
