coordinate qsharp lift
145 80258345730744626237518369694296367813130414308835478203703529387726243185465880/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
146 328647330830865425600090948303875752553611582476866506843105193714387354351445419/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
147 -196860085706321154798824082163485129298441015873568758583043628678509679789360755/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
148 -631211528835415953720224161022326302030251305363457058170336601941868366134820378/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
149 495158667468640745847190857759569965272547673508750845024419468569564630229521738/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
150 248622235811735673533241946161351266157427802698356588732134156838837556719055970/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
151 -123421132256519685799751577028445988640929206003724410528334108769600487320978202/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
152 472450258310618460075398393911760029239610854663848488549180043580595328093930674/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
153 302193175353901189957692525000086085401617533945503155326632902243017558523582312/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
154 -851063017078727977865844329426520825558652835076710073835911481129573916578652350/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
155 -328238015493072586507435709166132387773457290934629628685158841971994085798079035/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
156 203609140273621131304587769167719616338345933732470755236609943721957088271441313/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
157 267018572232509985552945839877292882569162820603018035287128344334595372791636057/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
158 -554357012003491687798232339936254357542214967728187773923002148751940268475071686/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
159 742971668336229673540952980571228963992461594881821070501070481307901612832590214/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
160 -133826051058738719630031638257709870004466163321597231118278796164765225672606034/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
161 -203120284694541744945674491691285916453164910194561670943269079133003288499972655/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
162 -126428544240912189139323447437995999914011398150299941702585839995050736464591789/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
163 144471281596214822993532690056833867985269774089446398120744828988308796334287587/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
164 80258345730744626237518369694296367813130414308835478203703529387726243185465880/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
165 -242970676736638138251654561435564872614188768658033144920841950353518257388817342/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
166 -69558915318924491545611161581800197597721094393705755869041891557354318083081946/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
167 -196846431955684623609813772252776364004097490187573635195197860231597339176996072/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
168 1166077584561057136767817790772646566608816138541438387211623725008241518670740651/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
169 115051458492226550829542355449208046157063776846964173267279698640342851354718545/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
170 -984202416000994023908756942283863302681585369891316874932091668624447109571474835/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
171 190894783697773438244801669736818863517195559254864133829875444618303280685998964/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
172 319882530635520345807009377773995570346973023075797507584877163653580021907812779/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
173 311360079061382464309620985885888323796704741047371773188565353144097641614353984/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
174 19543622571247009213034208865473847838280900103471598695713290883250952162467079/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
175 299060718626450973474908369878911688070652031655498576523173410481707806873417058/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
176 266417043158331522239602593704540401848045254295344815675140232315382843791521033/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
177 368477071283372858722468391510854535320505199306676239146024906825214513396850000/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
178 -929834522474952584792902056037745158121586347372624775215483213356722437355390819/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 -1
179 -353429758025733623518303749729253116467020365626373166109763801567759068771128574/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
180 377208723703808334377734752228911947786893615795917467507284821118778620325784481/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
181 239753637885987934764157278124209516936408649121326726450891896508927951229226742/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
182 214021182494769247616004068979915923336534369269387217847427943984169674634112643/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
183 0 0
184 495158667468640745847190857759569965272547673508750845024419468569564630229521738/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
185 0 0
186 354462455769602029375634374953682830742205228622302363708410924099725361256949173/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
187 99401289891710498389917628326554697979642026369256629622352236102562299676625517/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
188 -15567788009561301519169886112584787092425555459486950181755948402752662750922019/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
189 763562368360837829612806230874887266874624492465808994765437029544729392252511819/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
190 -735836859103328009082369558057835588553246168935744905492556372631130711983968188/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
191 1108469757611557151641681966262496540773754893510179947330018363011495213293620225/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
192 -44081511615190726851250417369090441312822385112123529749650505614085313292982048/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
193 -216039032706765275626691059335019182124647401168478546707967904534698964018603321/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
194 -415176441516990916702167335780354848230174921797097524485051717179324733680120574/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
195 506979539568643407845443019365522796111025223689166587442287423015399399826162371/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
196 10780635091740191147485140536158076292138255088274588686927919774124606148793429/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
