310 124
296 24 -1
296 25 1
296 30 -1
296 52 -1
296 41 -1
296 51 -1
296 57 -1
296 57 1
296 58 1
296 55 1
296 56 -1
296 60 1
296 59 1
296 59 1
296 83 1
296 78 -1
296 90 1
296 82 1
296 84 -1
296 88 -1
296 89 -1
296 88 1
296 92 1
296 91 1
296 92 1
296 92 1
296 121 1
296 120 -1
296 121 -1
296 110 1
296 120 1
296 110 -1
297 13 1
297 20 -1
297 23 1
297 13 -1
297 23 1
297 11 -1
297 50 -1
297 40 -1
297 42 -1
297 53 -1
297 50 1
297 42 1
297 40 1
297 54 -1
297 49 1
297 46 1
297 47 1
297 81 1
297 72 -1
297 83 1
297 73 1
297 86 -1
297 81 -1
297 73 -1
297 72 1
297 89 1
297 74 1
297 73 1
297 71 1
297 114 1
297 111 -1
297 116 -1
297 111 1
297 116 1
297 106 -1
298 7 1
298 19 -1
298 16 1
298 7 -1
298 21 1
298 16 -1
298 49 -1
298 46 -1
298 41 -1
298 41 -1
298 49 1
298 41 1
298 46 1
298 52 -1
298 52 1
298 41 1
298 44 1
298 80 1
298 73 -1
298 69 1
298 72 1
298 78 -1
298 80 -1
